adjudicated	Text	Final_Label
299	pound; as international commerce revolves in these days all transactions will be measured in some gold value, whether in dollars, francs, gulden, or any other of the fixed gold currencies. No transaction can take place unless it has some basis of measurement of that character. It really means that the fixed gold standard has been abandoned and a variable standard adopted which may change momentarily. But in any event all values in international commerce are bound to revolve on gold values or some measuring stick in gold. It is more or less a case of abandoning a fixed standard and adopting a variable one so far as international commerce is concerned. The effect in England will undoubtedly be to increase exports, which amounts to price reduction compared with the standard of measurement in gold, and it should act as a stimulant and thus should increase employment and increase the demand again for raw materials. Obviously, it amounts to a reduction in standards of living temporarily in those commodities which are imported, of course raw materials, but wages and rank will lag behind. Production costs will be lower, and consequently, exports will be stimulated. The tendency also may be to decrease imports to some extent especially for highly competitive goods. On the export side, the effect is not going to be very material on the United States because there are comparatively small volume of British and American goods which are highly competitive in neutral markets. A study made some time ago	E
300	preoccupations absorbing us at home, concerned as we are with matters that deeply affect our livelihood today and our vision of the future, each of these domestic problems is dwarfed by, and often even created by, this question that involves all humankind. This trial comes at a moment when man's power to achieve good or to inflict evil surpasses the brightest hopes and the sharpest fears of all ages. We can turn rivers in their courses, level mountains to the plains. Oceans and land and sky are avenues for our colossal commerce. Disease diminishes and life lengthens. Yet the promise of this life is imperiled by the very genius that has made it possible. Nations amass wealth. Labor sweats to create--and turns out devices to level not only mountains but also cities. Science seems ready to confer upon us, as its final gift, the power to erase human life from this planet. At such a time in history, we who are free must proclaim anew our faith. This faith is the abiding creed of our fathers. It is our faith in the deathless dignity of man, governed by eternal moral and natural laws. This faith defines our full view of life. It establishes, beyond debate, those gifts of the Creator that are man's inalienable rights, and that make all men equal in His sight. In the light of this equality, we know that the virtues most cherished by free people--love of truth, pride of work, devotion to country--all are treasures	UA
301	presented against the manner in which the strife is conducted and against the reckless disregard of human life, the wanton destruction of material wealth, and the cruel disregard of the established rules of civilized warfare. I have, since the beginning of the present session of Congress, communicated to the House of Representatives, upon their request, an account of the steps which I had taken in the hope of bringing this sad conflict to an end and of securing to the people of Cuba the blessings and the right of independent self-government. The efforts thus made failed, but not without an assurance from Spain that the good offices of this Government might still avail for the objects to which they had been addressed. During the whole contest the remarkable exhibition has been made of large numbers of Cubans escaping from the island and avoiding the risks of war; congregating in this country, at a safe distance from the scene of danger, and endeavoring to make war from our shores, to urge our people into the fight which they avoid, and to embroil this Government in complications and possible hostilities with Spain. It can scarce be doubted that this last result is the real object of these parties, although carefully covered under the deceptive and apparently plausible demand for a mere recognition of belligerency. It is stated on what I have reason to regard as good authority that Cuban bonds have been prepared to a large amount, whose payment is made dependent	HC
302	process there, I wanted to take a moment to say a word to all of you in this very personal way, speaking from the Oval Office. I first want to express my deep appreciation to every one of you, the millions of you who gave me your support in the election today, and I want to express my respect for millions of others who gave their support to Senator McGovern. I know that after a campaign, when one loses, he can feel very, very low, and his supporters as well may feel that way. And when he wins, as you will note when I get over to the Shoreham, people are feeling very much better. The important thing in our process, however, is to play the game, and in the great game of life, and particularly the game of politics, what is important is that on either side more Americans voted this year than ever before, and the fact that you won or you lost must not keep you from keeping in the great game of politics in the years ahead, because the better competition we have between the two parties, between the two men running for office, whatever office that may be, means that we get the better people and the better programs for our country. Now that the election is over, it is time to get on with the great tasks that lie before us. I have tried to conduct myself in this campaign in a way that	APR
303	provide it for themselves. My earnest hope is that Congress will digest some plan, founded on these principles, with such improvements as their wisdom may suggest, and carry it into effect as soon as it may be practicable. Europe is again unsettled and the prospect of war increasing. Should the flame light up in any quarter, how far it may extend it is impossible to foresee. It is our peculiar felicity to be altogether unconnected with the causes which produce this menacing aspect elsewhere. With every power we are in perfect amity, and it is our interest to remain so if it be practicable on just conditions. I see no reasonable cause to apprehend variance with any power, unless it proceed from a violation of our maritime rights. In these contests, should they occur, and to whatever extent they may be carried, we shall be neutral; but as a neutral power we have rights which it is our duty to maintain. For like injuries it will be incumbent on us to seek redress in a spirit of amity, in full confidence that, injuring none, none would knowingly injure us. For more imminent dangers we should be prepared, and it should always be recollected that such preparation adapted to the circumstances and sanctioned by the judgment and wishes of our constituents can not fail to have a good effect in averting dangers of every kind. We should recollect also that the season of peace is best adapted to these preparations. If	C
304	provided:I have therefore thought proper to issue this my proclamation, warning and enjoining all faithful citizens who have been led without due knowledge or consideration to participate in the said unlawful enterprises to withdraw from the same without delay, and commanding all persons whatsoever engaged or concerned in the same to cease all further proceedings therein, as they will answer the contrary at their peril and incur prosecution with all the rigors of the law. And I hereby enjoin and require all officers, civil and military, of the United States, or of any of the States or Territories, and especially all governors and other executive authorities, all judges, justices, and other officers of the peace, all military officers of the Army or Navy of the United States, or officers of the militia, to be vigilant, each within his respective department and according to his functions, in searching out and bringing to condign punishment all persons engaged or concerned in such enterprise, in seizing and detaining, subject to the disposition of the law, all vessels, arms, military stores, or other means provided or providing for the same, and, in general, in preventing the carrying on such expedition or enterprise by all lawful means within their power; and I require all good and faithful citizens and others within the United States to be aiding and assisting herein, and especially in the discovery, apprehension, and bringing to justice of all such offenders, in preventing the execution of their unlawful designs, and in giving	CTA
305	purposes the resources of the Treasury will undoubtedly be sufficient if the charges upon it are not increased beyond the annual estimates. No excess, however, is likely to exist. Nor can the postponed installment of the surplus revenue be deposited with the States nor any considerable appropriations beyond the estimates be made without causing a deficiency in the Treasury. The great caution, advisable at all times, of limiting appropriations to the wants of the public service is rendered necessary at present by the prospective and rapid reduction of the tariff, while the vigilant jealousy evidently excited among the people by the occurrences of the last few years assures us that they expect from their representatives, and will sustain them in the exercise of, the most rigid economy. Much can be effected by postponing appropriations not immediately required for the ordinary public service or for any pressing emergency, and much by reducing the expenditures where the entire and immediate accomplishment of the objects in view is not indispensable. When we call to mind the recent and extreme embarrassments produced by excessive issues of bank paper, aggravated by the unforeseen withdrawal of much foreign capital and the inevitable derangement arising from the distribution of the surplus revenue among the States as required by Congress, and consider the heavy expenses incurred by the removal of Indian tribes, by the military operations in Florida, and on account of the unusually large appropriations made at the last two annual sessions of Congress for other objects,	E
306	questions, the law gives no answer. There is a mystery about this; for when a member proposed to give the legislature express authority to exclude slavery, it was hooted down by the friends of the bill. This fact is worth remembering. Some yankees, in the east, are sending emigrants to Nebraska, to exclude slavery from it; and, so far as I can judge, they expect the question to be decided by voting, in some way or other. But the Missourians are awake too. They are within a stone's throw of the contested ground. They hold meetings, and pass resolutions, in which not the slightest allusion to voting is made. They resolve that slavery already exists in the territory; that more shall go there; that they, remaining in Missouri will protect it; and that abolitionists shall be hung, or driven away. Through all this, bowie-knives and six-shooters are seen plainly enough; but never a glimpse of the ballot-box. And, really, what is to be the result of this? Each party WITHIN, having numerous and determined backers WITHOUT, is it not probable that the contest will come to blows, and bloodshed? Could there be a more apt invention to bring about collision and violence, on the slavery question, than this Nebraska project is? I do not charge, or believe, that such was intended by Congress; but if they had literally formed a ring, and placed champions within it to fight out the controversy, the fight could be no more likely to come	HC
307	ratification the transfer of Louisiana by France to the United States took place, an event as unexpected as disagreeable to Spain. From that moment she seemed to change her conduct and dispositions toward us. It was first manifested by her protest against the right of France to alienate Louisiana to us, which, however, was soon retracted and the right confirmed. Then high offense was manifested at the act of Congress establishing a collection district on the Mobile, although by an authentic declaration immediately made it was expressly confined to our acknowledged limits; and she now refused to ratify the convention signed by her own minister under the eye of his Sovereign unless we would consent to alterations of its terms which would have affected our claims against her for the spoliations by French subjects carried into Spanish ports.To obtain justice as well as to restore friendship I thought a special mission advisable, and accordingly appointed James Monroe minister extraordinary and plenipotentiary to repair to Madrid, and in conjunction with our minister resident there to endeavor to procure a ratification of the former convention and to come to an understanding with Spain as to the boundaries of Louisiana. It appeared at once that her policy was to reserve herself for events, and in the meantime to keep our differences in an undetermined state. This will be evident from the papers now communicated to you. After nearly five months of fruitless endeavor to bring them to some definite and satisfactory result, our	E
308	reasons stated in the accompanying documents, including communications from the officer commanding at Fort Gibson. I submit, for the consideration of Congress, the propriety of making such amendments of the laws regulating intercourse with the Indian tribes as will subject to trial and punishment in the courts of the United States all Indians guilty of murder and such other felonies as may be designated, when committed on other Indians within the jurisdiction of the United States. Such a modification of the existing laws is suggested because if offenders against the laws of humanity in the Indian country are left to be punished by Indian laws they will generally, if not always, be permitted to escape with impunity. This has been the case in repeated instances among the Cherokees. For years unprovoked murders have been committed, and yet no effort has been made to bring the offenders to punishment. Should this state of things continue, it is not difficult to foresee that the weaker party will be finally destroyed. As the guardian of the Indian tribes, the Government of the United States is bound by every consideration of duty and humanity to interpose to prevent such a disaster. From the examination which I have made into the actual state of things in the Cherokee Nation I am satisfied that there is no probability that the different bands or parties into which it is divided can ever again live together in peace and harmony, and that the well-being of the whole requires	E
309	reconstruction finance corporation to furnish necessary credit otherwise unobtainable under existing circumstances, and so give confidence to agriculture, to industry and to labor against further paralyzing influences and shocks, but more especially by the reopening of credit channels which will assure the maintenance and normal working of the commercial fabric. "8. Assistance to all railroads by protection from unregulated competition, and to the weaker ones by the formation of a credit pool, as authorized by the Interstate Commerce Commission, and by other measures, thus affording security to the bonds held by our insurance companies, our savings banks, and other benevolent trusts, thereby protecting the interest of every family and promoting the recuperation of the railways. "9. The revision of our banking laws so as better to safeguard the depositors. "10. The safeguarding and support of banks through the National Credit Association, which has already given great confidence to bankers and extended their ability to make loans to commerce and industry. "11. The maintenance of the public finance on a sound basis: (a) By drastic economy. (b) Resolute opposition to the enlargement of Federal expenditure until recovery. (c) A temporary increase in taxation, so distributed that the burden may be borne in proportion to ability to pay amongst all groups and in such a fashion as not to retard recovery. "12. The maintenance of the American system of individual initiative and individual and community responsibility. "The broad purpose of this program is to restore the old job instead of create a	O
310	resources, well fitted to support a large permanent population. Alaska needs a good land law and such provisions for homesteads and pre-emptions as will encourage permanent settlement. We should shape legislation with a view not to the exploiting and abandoning of the territory, but to the building up of homes therein. The land laws should be liberal in type, so as to hold out inducements to the actual settler whom we most desire to see take possession of the country. The forests of Alaska should be protected, and, as a secondary but still important matter, the game also, and at the same time it is imperative that the settlers should be allowed to cut timber, under proper regulations, for their own use. Laws should be enacted to protect the Alaskan salmon fisheries against the greed which would destroy them. They should be preserved as a permanent industry and food supply. Their management and control should be turned over to the Commission of Fish and Fisheries. Alaska should have a Delegate in the Congress. It would be well if a Congressional committee could visit Alaska and investigate its needs on the ground. In dealing with the Indians our aim should be their ultimate absorption into the body of our people. But in many cases this absorption must and should be very slow. In portions of the Indian Territory the mixture of blood has gone on at the same time with progress in wealth and education, so that there are plenty of	E
311	respect have been paid to the dead. If the proprieties of an occasion as sad as that which now overshadows us are observed, possibly one-half of the brief time allowed is gone before, with due regard to the decencies of life, the President and those with whom he should advise can take up the consideration of the grave duty of selecting a head for one of the greatest Departments of the Government. Hasty action by the Senate is also necessarily involved, and geographical limitations are practically imposed by the necessity of selecting someone who can reach the capital and take the necessary oath of office before the expiration of the ten days. It may be a very proper restriction of the power of the President in this connection that he shall not designate for any great length of time a person to discharge these important duties who has not been confirmed by the Senate, but there would seem to be no reason why one of the assistant secretaries of the Department wherein the vacancy exists might not discharge the duties of Secretary until a successor is selected, confirmed, and qualified. The inconvenience of this limitation was made apparent at the time of the death of Secretary Folger. President Arthur in that case allowed one of the assistant secretaries, who had been designated to act in the absence of the Secretary, to continue in the discharge of such duties for ten days, then designated the same person to discharge the duties	E
312	restrain the depredations of French cruisers on our commerce has not given, and can not give, any relief. It enjoins them to conform to all the laws of France relative to cruising and prizes, while these laws are themselves the sources of the depredations of which we have so long, so justly, and so fruitlessly complained. The law of France enacted in January last, which subjects to capture and condemnation neutral vessels and their cargoes if any portion of the latter are of British fabric or produce, although the entire property belong to neutrals, instead of being rescinded has lately received a confirmation by the failure of a proposition for its repeal. While this law, which is an unequivocal act of war on the commerce of the nations it attacks, continues in force those nations can see in the French Government only a power regardless of their essential rights, of their independence and sovereignty; and if they possess the means they can reconcile nothing with their interest and honor but a firm resistance. Hitherto, therefore, nothing is discoverable in the conduct of France which ought to change or relax our measures of defense. On the contrary, to extend and invigorate them is our true policy. We have no reason to regret that these measures have been thus far adopted and pursued, and in proportion as we enlarge our view of the portentous and incalculable situation of Europe we shall discover new and cogent motives for the full development of our	E
313	result of the negotiations on foot with Great Britain, whether it should require arrangements adapted to a return of peace or further and more effective provisions for prosecuting the war. That result is not yet known. If, on the one hand, the repeal of the orders in council and the general pacification in Europe, which withdrew the occasion on which impressments from American vessels were practiced, suggest expectations that peace and amity may be reestablished, we are compelled, on the other hand, by the refusal of the British Government to accept the offered mediation of the Emperor of Russia, by the delays in giving effect to its own proposal of a direct negotiation, and, above all, by the principles and manner in which the war is now avowedly carried on to infer that a spirit of hostility is indulged more violent than ever against the rights and prosperity of this country. This increased violence is best explained by the two important circumstances that the great contest in Europe for an equilibrium guaranteeing all its States against the ambition of any has been closed without any check on the over-bearing power of Great Britain on the ocean, and it has left in her hands disposable armaments, with which, forgetting the difficulties of a remote war with a free people, and yielding to the intoxication of success, with the example of a great victim to it before her eyes, she cherishes hopes of still further aggrandizing a power already formidable in its	E
314	right of Congress to establish such a system of improvement. Taking into view the trust with which I am now honored, it would be improper after what has passed that this discussion should be revived with an uncertainty of my opinion respecting the right. Disregarding early impressions I have bestowed on the subject all the deliberation which its great importance and a just sense of my duty required, and the result is a settled conviction in my mind that Congress do not possess the right. It is not contained in any of the specified powers granted to Congress, nor can I consider it incidental to or a necessary means, viewed on the most liberal scale, for carrying into effect any of the powers which are specifically granted.In communicating this result I can not resist the obligation which I feel to suggest to Congress the propriety of recommending to the states the adoption of an amendment to the Constitution which shall give to Congress the right in question. In cases of doubtful construction, especially of such vital interest, it comports with the nature and origin of our institutions, and will contribute much to preserve them, to apply to our constituents for an explicit grant of the power. We may confidently rely that if it appears to their satisfaction that the power is necessary, it will always be granted.In this case I am happy to observe that experience has afforded the most ample proof of its utility, and that the benign spirit	O
315	risk of future disaster and disgrace.The readiness and efficiency of both the Army and Navy in dealing with the recent sudden crisis in Cuba illustrate afresh their value to the Nation. This readiness and efficiency would have been very much less had it not been for the existence of the General Staff in the Army and the General Board in the Navy; both are essential to the proper development and use of our military forces afloat and ashore. The troops that were sent to Cuba were handled flawlessly. It was the swiftest mobilization and dispatch of troops over sea ever accomplished by our Government. The expedition landed completely equipped and ready for immediate service, several of its organizations hardly remaining in Havana over night before splitting up into detachments and going to their several posts, It was a fine demonstration of the value and efficiency of the General Staff. Similarly, it was owing in large part to the General Board that the Navy was able at the outset to meet the Cuban crisis with such instant efficiency; ship after ship appearing on the shortest notice at any threatened point, while the Marine Corps in particular performed indispensable service. The Army and Navy War Colleges are of incalculable value to the two services, and they cooperate with constantly increasing efficiency and importance.The Congress has most wisely provided for a National Board for the promotion of rifle practise. Excellent results have already come from this law, but it does not go far	APR
316	risked their lives in dangerous desert border crossings, or entrusted their lives to the brutal rings of heartless human smugglers. Workers who seek only to earn a living end up in the shadows of American life -- fearful, often abused and exploited. When they are victimized by crime, they are afraid to call the police, or seek recourse in the legal system. They are cut off from their families far away, fearing if they leave our country to visit relatives back home, they might never be able to return to their jobs. The situation I described is wrong. It is not the American way. Out of common sense and fairness, our laws should allow willing workers to enter our country and fill jobs that Americans have are not filling. (Applause.) We must make our immigration laws more rational, and more humane. And I believe we can do so without jeopardizing the livelihoods of American citizens. Our reforms should be guided by a few basic principles. First, America must control its borders. Following the attacks of September the 11th, 2001, this duty of the federal government has become even more urgent. And we're fulfilling that duty. For the first time in our history, we have consolidated all border agencies under one roof to make sure they share information and the work is more effective. We're matching all visa applicants against an expanded screening list to identify terrorists and criminals and immigration violators. This month, we have begun using advanced technology to	UA
317	roadstead, or waters of more than one vessel of the other belligerent. But if there be several vessels of each or either of the two belligerents in the same port, harbor, roadstead, or waters, the order of their departure therefrom shall be so arranged as to afford the opportunity of leaving alternately to the vessels of the respective belligerents, and to cause the least detention consistent with the objects of this proclamation. No ship of war or privateer of either belligerent shall be permitted, while in any port, harbor, roadstead, or waters within the jurisdiction of the United States, to take in any supplies except provisions and such other things as may be requisite for the subsistence of her crew, and except so much coal only as may be sufficient to carry such vessel, if without any sail power, to the nearest port of her own country; or in case the vessel is rigged to go under sail, and may also be propelled by steam power, then with half the quantity of coal which she would be entitled to receive, if dependent upon steam alone, and no coal shall be again supplied to any such ship of war or privateer in the same Or any other port, harbor, roadstead, or waters of the United States, without special permission, until after the expiration of three months from the time when such coal may have been last supplied to her within the waters of the United States, unless such ship of war	O
318	said resolution into effect; and Whereas in carrying into effect said resolution the President of the United States deems it necessary to set on foot and maintain a blockade of the north coast of Cuba, including all ports on said coast between Cardenas and Bahia Honda, and the port of Cienfuegos, on the south coast of Cuba: Now, therefore, I, William McKinley, President of the United States, in order to enforce the said resolution, do hereby declare and proclaim that the United States of America have instituted and will maintain a blockade of the north coast of Cuba, including ports on said coast between Cardenas and Bahia Honda, and the port of Cienfuegos, on the south coast of Cuba, aforesaid, in pursuance of the laws of the United States and the law of nations applicable to such cases. An efficient force will be posted so as to prevent the entrance and exit of vessels from the ports aforesaid. Any neutral vessel approaching any of said ports or attempting to leave the same without notice or knowledge of the establishment of such blockade will be duly warned by the commander of the blockading forces, who will indorse on her register the fact and the date of such warning, where such indorsement was made; and if the same vessel shall again attempt to enter any blockaded port she will be captured and sent to the nearest and convenient port for such proceedings against her and her cargo as prize as may be	E
319	same unbending rule to those of my own appointment. Freedom of opinion will be tolerated, the full enjoyment of the right of suffrage will be maintained as the birthright of every American citizen; but I say emphatically to the official corps, "Thus far and no farther." I have dwelt the longer upon this subject because removals from office are likely often to arise, and I would have my countrymen to understand the principle of the Executive action. In all public expenditures the most rigid economy should be resorted to, and, as one of its results, a public debt in time of peace be sedulously avoided. A wise and patriotic constituency will never object to the imposition of necessary burdens for useful ends, and true wisdom dictates the resort to such means in order to supply deficiencies in the revenue, rather than to those doubtful expedients which, ultimating in a public debt, serve to embarrass the resources of the country and to lessen its ability to meet any great emergency which may arise. All sinecures should be abolished. The appropriations should be direct and explicit, so as to leave as limited a share of discretion to the disbursing agents as may be found compatible with the public service. A strict responsibility on the part of all the agents of the Government should be maintained and peculation or defalcation visited with immediate expulsion from office and the most condign punishment. The public interest also demands that if any war has existed between	CTA
320	seeing these overcrowded facilities with — run by CPB [sic], when it comes to unaccompanied minors? THE PRESIDENT: Well, look, I guess I should be flattered people are coming because I’m the nice guy; that’s the reason why it’s happening — that I’m a decent man or however it’s phrased. That — you know, that’s why they’re coming, because they know Biden is a good guy. The truth of the matter is: Nothing has changed. As many people came — 28 percent increase in children to the border in my administration; 31 percent in the last year of — in 2019, before the pandemic, in the Trump administration. It happens every single, solitary year: There is a significant increase in the number of people coming to the border in the winter months of January, February, March. That happens every year. In addition to that, there is a — and nobody — and, by the way, does anybody suggest that there was a 31 percent increase under Trump because he was a nice guy and he was doing good things at the border? That’s not the reason they’re coming. The reason they’re coming is that it’s the time they can travel with the least likelihood of dying on the way because of the heat in the desert, number one. Number two, they’re coming because of the circumstances in-country — in-country. The way to deal with this problem — and I started to deal with it back when I was a United	E
321	seem to have read and heard that other people, too, are opposed to the Federal Government usurping the rights of the States. Q. Mr. President, are there differences of opinion between the United States and South Vietnamese officials on the question of attacking North Viet-Nam, and if there are differences, what are they, please? THE PRESIDENT. The answer is no. I stated that earlier, but I repeat it. Q. Mr. President, how do you assess your opponent this November, Barry Goldwater, and do you anticipate a close race? THE PRESIDENT. I think what I think about Senator Goldwater and my prediction as to the outcome of the race is not very important. I think that is a matter for the American people to decide. I think what the people want to know is how I stand on issues, and what my policies will be, and what my party stands for. They are much more interested in what the Democratic nominee advocates than what he thinks about his opponent or his chances of winning. I have every confidence that the Democratic Party will adopt a good platform, will select good candidates, and that they will present their views to the people without regard to personalities, and the people, in their wisdom, will make a good decision. Q. Mr. President, about 10 days ago Senator Goldwater used some very strong personal epithets to challenge your own sincerity of purpose in the civil rights issue. Now, would you sit down this afternoon to	C
322	servant and another 5 years as a consultant. Since 1961 he has been an Assistant Secretary of Health, Education, and Welfare. Today I am nominating him for a promotion to become Under Secretary of Health, Education, and Welfare. Mr. Donald F. Turner. Mr. Turner is 44 years old, a Phi Beta Kappa from Northwestern University. He has a Ph.D. in economics from Harvard, and a law degree from Yale. He has been a law clerk to a Supreme Court Justice and is widely and favorably known throughout the Nation for his work and his writing in the antitrust legal field. He is currently a visiting law professor at Stanford University in California. Today I am nominating him to become Assistant Attorney General in charge of the Antitrust Division. Mr. Leonard C. Meeker. He is a career attorney with 25 years of Government service. He is a Phi Beta Kappa from Amherst College. Since 1961 he has served as Deputy Legal Adviser in the State Department. Today I am nominating him to become Legal Adviser in the State Department. We are all very much concerned about the serious situation which has developed in the last few hours in the Dominican Republic. Fighting has occurred among different elements of the Dominican armed forces and other groups. Public order in the capital at Santo Domingo has broken down. Due to the gravity of the situation, and the possible danger to the lives of American citizens in the Dominican Republic, I ordered the evacuation	APR
323	serving the people's urgent needs. We cannot stand still or slip backwards. We must go forward now together. To the peoples and the governments of all friendly nations, and I hope that could encompass the whole world, I pledge an uninterrupted and sincere search for peace. America will remain strong and united, but its strength will remain dedicated to the safety and sanity of the entire family of man, as well as to our own precious freedom. I believe that truth is the glue that holds government together, not only our Government but civilization itself. That bond, though strained, is unbroken at home and abroad. In all my public and private acts as your President, I expect to follow my instincts of openness and candor with full confidence that honesty is always the best policy in the end. My fellow Americans, our long national nightmare is over. Our Constitution works; our great Republic is a government of laws and not of men. Here the people rule. But there is a higher Power, by whatever name we honor Him, who ordains not only righteousness but love, not only justice but mercy. As we bind up the internal wounds of Watergate, more painful and more poisonous than those of foreign wars, let us restore the golden rule to our political process, and let brotherly love purge our hearts of suspicion and of hate. In the beginning, I asked you to pray for me. Before closing, I ask again your prayers, for Richard	UA
324	set at naught the authority of the magistrates without the aid of a strong force, had authorized the sheriff and the officer appointed in the place of the land agent to employ, at the expense of the State, an armed posse, who had proceeded to the scene of these depredations with a view to the entire dispersion or arrest of the trespassers and the protection of the public property. In the correspondence between the governor of Maine and Sir John Harvey, lieutenant-governor of the Province of New Brunswick, which has grown out of these occurrences and is likewise herewith communicated, the former is requested to recall the armed party advanced into the disputed territory for the arrest of trespassers, and is informed that a strong body of British troops is to be held in readiness to support and protect the authority and subjects of Great Britain in said territory. In answer to that request the provincial governor is informed of the determination of the State of Maine to. support the land agent and his party in the performance of their duty, and the same determination, for the execution of which provision is made by a resolve of the State legislature, is communicated by the governor to the General Government. The lieutenant-governor of New Brunswick, in calling upon the governor of Maine for the recall of the land agent and his party from the disputed territory, and the British minster, in making a similar demand upon the Government of the United	HC
325	settled portion of the United States depends upon their entire and speedy migration to the country west of the Mississippi set apart for their permanent residence, I am anxious that all the arrangements necessary to the complete execution of the plan of removal and to the ultimate security and improvement of the Indians should be made without further delay. Those who have already removed and are removing are sufficiently numerous to engage the serious attention of the Government,. and it is due not less to them than to the obligation which the nation has assumed that every reasonable step should be taken to fulfill the expectations that have been held out to them. Many of those who yet remain will no doubt within a short period become sensible that the course recommended is the only one which promises stability or improvement, and it is to be hoped that all of them will realize this truth and unite with their brethren beyond the Mississippi. Should they do so, there would then be no question of jurisdiction to prevent the Government from exercising such a general control over their affairs as may be essential to their interest and safety. Should any of them, however, repel the offer of removal, they are free to remain, but they must remain with such privileges and disabilities as the respective States within whose jurisdiction they live may prescribe. I transmit herewith a report from the Secretary of War, which presents a general outline of the progress	E
326	shakes the world. Twice in this century we have paid dearly for this lesson; at other times, we have come perilously close to calamity. We dare not forget the tragedy and the terror of those times. Peace is not a piece of paper. But lasting peace is at least possible today because we have learned from the experiences of the last 30 years that peace is a process requiring mutual restraint and practical arrangements. This Conference is a part of that process—a challenge, not a conclusion. We face unresolved problems of military security in Europe; we face them with very real differences in values and in aims. But if we deal with them with careful preparation, if we focus on concrete issues, if we maintain forward movement, we have the right to expect real progress. The era of confrontation that has divided Europe since the end of the Second World War may now be ending. There is a new perception and a shared perception of a change for the better, away from confrontation and toward new possibilities for secure and mutually beneficial cooperation. That is what we all have been saying here. I welcome and I share these hopes for the future. The postwar policy of the United States has been consistently directed toward the rebuilding of Europe and the rebirth of Europe's historic identity. The nations of the West have worked together for peace and progress throughout Europe. From the very start, we have taken the initiative by stating	HC
327	should itself be authorized to render this protection. Such a grant of authority, thus limited in its extent, could in no just sense be regarded as a transfer of the war-making power to the Executive, but only as an appropriate exercise of that power by the body to whom it exclusively belongs. The riot at Panama in 1856, in which a great number of our citizens lost their lives, furnishes a pointed illustration of the necessity which may arise for the exertion of this authority. I therefore earnestly recommend to Congress, on whom the responsibility exclusively rests, to pass a law before their adjournment conferring on the President the power to protect the lives and property of American citizens in the cases which I have indicated, under such restrictions and conditions as they may deem advisable. The knowledge that such a law exists would of itself go far to prevent the outrages which it is intended to redress and to render the employment of force unnecessary. Without this the President may be placed in a painful position before the meeting of the next Congress. In the present disturbed condition of Mexico and one or more of the other Republics south of us, no person can foresee what occurrences may take place before that period. In case of emergency, our citizens, seeing that they do not enjoy the same protection with subjects of European Governments, will have just cause to complain. On the other hand, should the Executive interpose, and especially	HC
328	should move on the embargo front. Q: Mr. President, has the Special Prosecutor requested your testimony in any form, and if asked, would you testify? The President: Well, I believe it is a matter of record that the Special Prosecutor transmitted a request that I testify before the grand jury, and on constitutional grounds, I respectfully declined to do so. I did offer, of course, to respond to any interrogatories that the Special Prosecutor might want to submit or to meet with him personally and answer questions, and he indicated that he did not want to proceed in that way. Q: Mr. President, however an impeachable offense is defined, under the system, the impeachment proceeding is the courtroom of the President. You have said many times that these matters belong in .the courts. So, wouldn't it be in your best interests and in the best interest of the country to have this matter finally resolved in a proper judicial forum, that is, a full impeachment trial in the Senate? The President: Well, a full impeachment trial in the Senate, under our Constitution, comes only when the House determines that there is an impeachable offense. It is my belief that .the House, after it conducts its inquiry, will not reach that determination. I do not expect to be impeached. Q: Mr. President, the Shah of Iran said in an interview that the United States is getting as much oil now as it did before the embargo, and Mr. Simon of the	O
329	shown much zeal and earnestness in their work, and to them, as well as to myself, it will be a source of mortification if it is to be thrown away. But I repeat that it is impossible to carry this system to a successful issue without general approval and assistance and positive law to support it.I have stated that three elements of prosperity to the nation--capital, labor, skilled and unskilled, and products of the soil--still remain with us. To direct the employment of these is a problem deserving the most serious attention of Congress. If employment can be given to all the labor offering itself, prosperity necessarily follows. I have expressed the opinion, and repeat it, that the first requisite to the accomplishment of this end is the substitution of a sound currency in place of one of a fluctuating value. This secured, there are many interests that might be fostered to the great profit of both labor and capital. How to induce capital to employ labor is the question. The subject of cheap transportation has occupied the attention of Congress. Much new light on this question will without doubt be given by the committee appointed by the last Congress to investigate and report upon this subject.A revival of shipbuilding, and particularly of iron steamship building, is of vast importance to our national prosperity. The United States is now paying over $100,000,000 per annum for freights and passage on foreign ships--to be carried abroad and expended in the employment and	E
